day,cycleTransferred,totalAccumulated
1,10.4167,10.4167
2,10.4167,20.8334
3,10.4167,31.2501
4,10.4167,41.6668
5,10.4167,52.0835
6,10.4167,62.5002
7,10.4167,72.9169
8,10.4167,83.3336
9,10.4167,93.7503
10,10.4167,104.167
11,10.4167,114.5837
12,10.4167,125.0004
13,10.4167,135.4171
14,10.4167,145.8338
15,10.4167,156.2505
16,10.4167,166.6672
17,10.4167,177.0839
18,10.4167,187.5006
19,10.4167,197.9173
20,10.4167,208.334
21,10.4167,218.7507
22,10.4167,229.1674
23,10.4167,239.5841
24,10.4167,250.0008
25,10.4167,260.4175
26,10.4167,270.8342
27,10.4167,281.2509
28,10.4167,291.6676
29,10.4167,302.0843
30,10.4167,312.501
